"analysis_group","mean_cingulo-opercular-network_left-caudate","mean_cingulo-opercular-network_left-amygdala","mean_within_ventral-attention-network","mean_default-mode-network_left-putamen","mean_salience-network_left-putamen","sd_cingulo-opercular-network_left-caudate","sd_cingulo-opercular-network_left-amygdala","sd_within_ventral-attention-network","sd_default-mode-network_left-putamen","sd_salience-network_left-putamen"
"GAD",0.0310381121341463,0.0848870236585366,0.248260316219512,0.0328939072560976,0.0469070182926829,0.096840633012559,0.103665285663877,0.0628914451304037,0.0771211232985754,0.0678078505465947
"control",0.000156795506649779,0.0502463329860671,0.231342693109563,0.0102378376060798,0.0275170346548448,0.108250073608803,0.107146025288762,0.0594565467533948,0.0812169015173451,0.0670235313053958
