column_name,group_f_value,group_df,group_residual_df,group_p_value,group_p_adjusted,rsfmri_c_ngd_meanmotion_estimate,rsfmri_c_ngd_meanmotion_t_value,rsfmri_c_ngd_meanmotion_std_error,rsfmri_c_ngd_meanmotion_p_value,sex_f_value,sex_df,sex_residual_df,sex_p_value,eventname_f_value,eventname_df,eventname_residual_df,eventname_p_value
rsfmri_cor_ngd_dsa_scs_hplh,1.4422,1,2902.9488,0.2299,0.6524,0.0421,5.9137,0.0071,0,26.1619,1,2863.0846,0,4.113,1,2882.3942,0.0426
rsfmri_cor_ngd_dsa_scs_hprh,1.8523,1,2897.3191,0.1736,0.5829,-0.0042,-0.5616,0.0075,0.5745,5.0954,1,2859.223,0.0241,4.1473,1,2944.8262,0.0418
rsfmri_cor_ngd_dsa_scs_ptlh,2.1021,1,2887.8028,0.1472,0.5825,0.0524,6.3859,0.0082,0,54.2077,1,2875.3454,0,8.6395,1,2960.7542,0.0033
rsfmri_cor_ngd_dsa_scs_ptrh,1.5768,1,2894.2494,0.2093,0.6513,0.0267,3.784,0.0071,0.0002,0.0194,1,2842.113,0.8891,0.6712,1,2946.3015,0.4127
rsfmri_cor_ngd_dsa_scs_thplh,0.0062,1,2913.3924,0.9374,0.991,0.0077,0.9789,0.0078,0.3277,0.2959,1,2775.888,0.5865,14.2871,1,2892.3746,0.0002
rsfmri_cor_ngd_dsa_scs_thprh,0.0674,1,2901.3715,0.7952,0.9626,-0.0243,-2.5748,0.0095,0.0101,23.6442,1,2841.1055,0,1.411,1,2936.9613,0.235
rsfmri_cor_ngd_fopa_scs_aalh,0.1806,1,2910.9678,0.6709,0.9626,0.0155,2.0745,0.0075,0.0381,21.4975,1,2823.1899,0,0.1782,1,2878.7649,0.6729
rsfmri_cor_ngd_fopa_scs_aarh,0.6084,1,2900.3578,0.4354,0.8354,-0.0089,-1.3598,0.0065,0.174,0.7324,1,2837.1629,0.3922,0.0417,1,2940.1951,0.8381
rsfmri_cor_ngd_fopa_scs_aglh,1.8725,1,2894.8848,0.1713,0.5829,0.0074,1.129,0.0066,0.259,3.3494,1,2844.8935,0.0673,0.0365,1,2948.0406,0.8485
rsfmri_cor_ngd_fopa_scs_agrh,0.0473,1,2905.5485,0.8278,0.9626,-0.0004,-0.0427,0.009,0.9659,1.6311,1,2806.4914,0.2017,9.2722,1,2922.798,0.0023
rsfmri_cor_ngd_fopa_scs_cdelh,0.659,1,2892.9354,0.417,0.8354,-0.0171,-3.8013,0.0045,0.0001,2.4784,1,2839.4809,0.1155,9.9608,1,2943.4282,0.0016
rsfmri_cor_ngd_fopa_scs_cderh,0.1086,1,2904.7643,0.7418,0.9626,-0.0186,-3.0019,0.0062,0.0027,26.6657,1,2795.2836,0,11.4923,1,2917.0768,0.0007
rsfmri_cor_ngd_fopa_scs_hplh,0.7387,1,2906.4458,0.3901,0.8335,0.079,7.637,0.0103,0,5.8751,1,2800.3807,0.0154,2.6093,1,2918.8703,0.1063
rsfmri_cor_ngd_fopa_scs_hprh,0.0638,1,2893.2032,0.8006,0.9626,-0.0043,-1.0687,0.004,0.2853,1.981,1,2841.8195,0.1594,3.883,1,2945.4447,0.0489
rsfmri_cor_ngd_fopa_scs_ptlh,0.0996,1,2900.8909,0.7524,0.9626,-0.0068,-0.6851,0.0099,0.4933,17.0286,1,2867.226,0,69.3998,1,2901.8913,0
rsfmri_cor_ngd_fopa_scs_ptrh,0.4494,1,2896.8212,0.5027,0.8354,0.0254,4.0947,0.0062,0,4.1103,1,2824.808,0.0427,8.3234,1,2935.494,0.0039
rsfmri_cor_ngd_fopa_scs_thplh,0.0595,1,2916.9853,0.8073,0.9626,0.032,4.9819,0.0064,0,4.2837,1,2805.2788,0.0386,0.0551,1,2746.7297,0.8144
rsfmri_cor_ngd_fopa_scs_thprh,0.5309,1,2908.995,0.4663,0.8354,-0.0188,-1.8133,0.0104,0.0699,0.9088,1,2808.2523,0.3405,0.0427,1,2912.7423,0.8363
rsfmri_cor_ngd_sa_scs_aalh,0.0005,1,2892.7129,0.983,0.991,-0.0434,-5.7736,0.0075,0,50.4567,1,2845.3691,0,0.2845,1,2947.5838,0.5938
rsfmri_cor_ngd_sa_scs_aarh,1.3518,1,2911.8724,0.2451,0.6524,0.0346,4.0737,0.0085,0,6.2689,1,2819.6572,0.0123,10.8138,1,2872.7974,0.001
rsfmri_cor_ngd_sa_scs_aglh,0.06,1,2903.526,0.8065,0.9626,-0.0186,-1.5599,0.012,0.1189,15.1321,1,2856.4019,0.0001,28.0426,1,2898.5844,0
rsfmri_cor_ngd_sa_scs_agrh,0.33,1,2893.4255,0.5657,0.9013,0.0393,5.7454,0.0068,0,1.0302,1,2845.6407,0.3102,0.0796,1,2948.1702,0.7779
rsfmri_cor_ngd_sa_scs_cdelh,1.3085,1,2914.1949,0.2528,0.6524,0.0196,2.0307,0.0097,0.0424,0.5273,1,2784.0324,0.4678,2.1666,1,2887.7198,0.1411
